Thời gian,Cán bộ thẩm định,Tổ chức/cá nhân,Số Giấy phép,Danh sách file tải lên,File báo cáo,Trạng thái,Ghi chú
2026-05-17 22:27:04,Lê Đào Chung Thương,Không xác định,403526/GP | 403527/GP | 403528/GP | 403529/GP | 403530/GP | 403531/GP | 403532/GP-DP | 403533/GP-DP,403526_33bk.pdf | 403526_33gp.pdf,20260517_222641_Hồ_sơ_giấy_cấp_mới_giấy_phép.html,Bị chặn đầu vào,"❌ SAI NGHIỆP VỤ HỒ SƠ: Hệ thống phát hiện văn bản tải lên là Giấy phép Gia hạn/Sửa đổi (403532/GP-DP) dựa trên dòng số phía trên bên trái văn bản, không phải cấu trúc Giấy phép Cấp mới thuần túy (đuôi /GP). Tiến trình bị chặn đứng lập tức để tránh lãng phí."
2026-05-17 22:46:24,Lê Đào Chung Thương,Không xác định,403526/GP | 403527/GP | 403528/GP | 403529/GP | 403530/GP | 403531/GP | 403532/GP-DP | 403533/GP-DP,403526_33bk.pdf | 403526_33gp.pdf,20260517_224517_Hồ_sơ_giấy_cấp_mới_giấy_phép.html,Thành công,Đã hoàn thành đối soát chi tiết kỹ thuật
2026-05-18 00:06:23,Vũ Thanh Hòa,Công ty cổ phần an ninh Miền Bắc | Công ty TNHH MTV thông tin điện tử hàng hải Việt Nam,386285/GP-GH | 356919/GP-GH | 356919/GP-GH2,386285gh.pdf | 356919gh.pdf | 356919gh2.pdf,20260518_000555_Công ty cổ phần an ninh Miền Bắc.html,Bị chặn đầu vào,"❌ SAI QUY TẮC LIỀN KỀ: 02 Giấy phép tải lên không có hậu tố kề nhau (Ví dụ nhận diện hợp lệ: GP và GP-GH, hoặc GP-GH2 và GP-GH3). Nội dung quét thực tế đang là: 386285/GP-GH, 356919/GP-GH, 356919/GP-GH2."
2026-05-18 00:07:21,Vũ Thanh Hòa,Không xác định,356919/GP-GH | 356919/GP-GH2,356919gh.pdf | 356919gh2.pdf,20260518_000659_Hồ_sơ_chỉ_gia_hạn_giấy_phép.html,Bị chặn đầu vào,❌ GIA HẠN THẤT BẠI: Thiếu file hồ sơ thành phần. Diện chỉ gia hạn bắt buộc phải cung cấp đủ tối thiểu 02 file Giấy phép và 01 file Bản khai đề nghị gia hạn.
2026-05-18 00:10:08,Vũ Thanh Hòa,Không xác định,374745/GP | 374745/GP-GH,374745gp.pdf | 374745gh.pdf | 374745bksuadoi.pdf,20260518_000938_Hồ_sơ_gia_hạn_và_sửa_đổi_giấy_phép.html,Bị chặn đầu vào,"❌ GIA HẠN & SỬA ĐỔI THẤT BẠI: Thiếu cấu phần tệp tin. Yêu cầu bắt buộc phải cung cấp ít nhất 04 file (02 Giấy phép kề nhau, 01 Bản khai gia hạn, 01 Bản khai thông số kỹ thuật)."
2026-05-18 05:32:08,Cao Minh Hồng,Công ty cổ phần TASCO,398877/GP | 398878/GP-DP | 398879/GP | 398880/GP-DP | 398881/GP | 398882/GP-DP | 398883/GP | 398884/GP-DP | 398885/GP | 398886/GP-DP,tasco137_146bk.pdf | 10-4.pdf,20260518_053032_Công ty cổ phần TASCO.html,Thành công,Đã hoàn thành đối soát chi tiết kỹ thuật
2026-05-20 22:29:59,Vũ Thanh Hòa,Công ty cổ phần đầu tư và du lịch Vạn Hương,403637/GP | 403638/GP,403637_38gp.pdf | 403637_38bk.pdf,20260520_222831_Công ty cổ phần đầu tư và du lịch Vạn Hương.html,Thành công,Đã hoàn thành đối soát chi tiết kỹ thuật
2026-05-20 22:40:33,Vũ Thanh Hòa,Công ty cổ phần đầu tư và du lịch Vạn Hương,403637/GP | 403638/GP,403637_38gp.pdf | 403637_38bk.pdf,20260520_223925_Công ty cổ phần đầu tư và du lịch Vạn Hương.html,Thành công,Đã hoàn thành đối soát chi tiết kỹ thuật
2026-05-20 22:52:48,Vũ Thanh Hòa,Công ty TNHH MTV thông tin điện tử hàng hải Việt Nam,340555/GP-GH | 340555/GP-GH2,340555gh2.pdf | 340555gh.pdf,20260520_225147_Công ty TNHH MTV thông tin điện tử hàng hải Việt N.html,Thành công,Đã hoàn thành đối soát chi tiết kỹ thuật
2026-05-20 22:59:27,Vũ Thanh Hòa,Công ty TNHH MTV thông tin điện tử hàng hải Việt Nam,340555/GP-GH | 340555/GP-GH2,340555gh2.pdf | 340555gh.pdf,20260520_225913_Công ty TNHH MTV thông tin điện tử hàng hải Việt N.html,Bị chặn đầu vào,❌ GIA HẠN THẤT BẠI: Thiếu file hồ sơ thành phần. Diện chỉ gia hạn bắt buộc phải cung cấp đủ tối thiểu 02 file Giấy phép và 01 file Bản khai đề nghị gia hạn.
